"WORD_ID","WORD","PART_OF_SPEECH","PRONUNCIATION","TRANSLATION","TRANSLATION_2","CATEGORIES","NOTE","ACKNOWLEDGEMENT","FOR_KIDS","AUDIO_TITLE","AUDIO_FILENAME","IMG_TITLE","IMG_FILENAME","IMG_SOURCE","RELATED_PHRASE","RELATED_PHRASE_TRANSLATION","RELATED_PHRASE_ACKNOWLEDGEMENT","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","USERNAME","CONTRIBUTOR","DATE_CREATED","DATE_MODIFIED"
"98b30cc5-43bc-4031-9772-212b4d10938c","hoya̱x","intransitive_verb","*ho/ya̱x","correct; right","","","","Dunn, Practical Dictionary entry: 809.","1","Person saying: hoya̱x","hoyax.wav","","","","Ada al hoyag̱a g̱axłg̱ooyu dis Fumiko.","And Fumiko and I paid the right amount.","Fumiko S 18.1","","","admin","","2012-11-03T02:51:43Z","2022-10-31T16:36:39Z"
"04273435-cbd7-4fd2-ba91-6e5502bf2058","hoya̱x","intransitive_verb","*ho/ya̱x","similar","","","","Dunn, Practical Dictionary entry: 809.","1","Person saying: hoya̱x","hoyax.wav","","","","Hoyag̱u amhaw 'yuutat daawł ła gaksgu.","When I woke up this morning, I sounded like a man.","Fumiko S 13.1","","","admin","","2012-11-03T02:51:43Z","2022-10-31T16:36:39Z"
"d56d0275-c557-48c0-878c-65890c1edc8b","hoya̱x","transitive_verb","*ho/ya̱x","be like, resemble, similar","","States","","Dunn, Practical Dictionary entry: 809.","1","Person saying: hoya̱x","hoyax.wav","Image depicting: ","TRIPLETS.jpg","Image from PAP v23, Bonus Graphics CD.","Dm dzabu dm txaldzap'ayu dm hoyag̱a̱dit 'nüüyu.","I'm going to make a statue of myself.","","","","admin","","2012-11-03T02:51:43Z","2022-10-31T16:36:39Z"
"c1df9efd-127e-4cba-8517-812f2bd668e7","gyad","transitive_verb","","hold","","","","Dunn, Practical Dictionary entry: 561.","1","","","","","","Dat 'lii t'aadit gisga la̱x pdoołga, ma̱n gyaditga waapga ","","Mulder,  2.1","","","admin","","2009-06-17T14:22:20Z","2021-08-08T19:25:59Z"
"010ea017-2283-4254-ad1b-2246ba40454a","gyad","transitive_verb","","","","","","Dunn, Practical Dictionary entry: 561.","1","","","","","","","","","","","admin","","2009-06-17T14:22:20Z","2021-08-08T19:25:59Z"
"7f2403da-004f-4423-82f8-684943a7e856","bałiksk","intransitive_verb","","flat","","","","","1","","","","","","","","","","","admin","","2022-06-15T16:29:02Z","2022-06-15T16:30:57Z"
"53b21fcf-c839-4f23-a2fa-db45ba83cd43","'natxagisihaywaas","noun","'na/txa/gyisi/haay/*waas","northeast","","Nature/Environment,States,Place/Location","","","1","Person saying: 'natxagisihaywaas","'natxagyisihaywaas-em-hb-02.wav","Image depicting: ","COMPASS_08.jpg","Image from PAP v23, Bonus Graphics CD.","'Natxagyisihaywaask wila 'waatga baask.","Wind is coming from the northeast.","","Spoken example sentence with word: 'natxagisihaywaas","'natxagyisihaywaas-em-hb-02.wav","admin","","2003-11-19T04:33:38Z","2022-06-08T00:07:43Z"
"6d5ebc69-ec28-49d2-9c0c-137d53fd8818","sadi'waatk","transitive_verb","","take something from","","","","","1","","","","","","at sadi'waatgit a nah wilt 'liibats'nt a haḵ'oo ts'imuut.","taking it from where she had placed it behind her ear","Boas, Fr 781.1","Spoken example sentence with word: sadi'waatk","sadiwaatk-em-2018.wav","admin","","2018-08-23T21:37:43Z","2022-05-24T23:45:37Z"
"3615e998-51d1-4689-988c-34df92c1fbe8","sila lut'ooxłga g̱oot","intransitive_verb","","empathize with, sympathize","","","","","1","","","","","","Sila lut'ooxłga g̱oodut 'nüüsm a wil bookism.","I sympathize with you all when you weep.","","","","admin","","2021-07-24T04:35:35Z","2022-04-26T02:17:56Z"
"efcac6ac-5883-4424-8f54-7aa07c90f925","la̱g̱a̱xgigyootk","noun","la̱/g̱a̱x/gi/*gyootk","doublebladed axe, used by fallers","","Tools/Implements","","Dunn, Practical Dictionary entry: 1079.","1","Person saying: la̱g̱a̱xgigyootk","637094427080971847la̱g̱a̱xgigyootk.wav","","","","La̱g̱a̱xgyigyootga hoy 'yuutat gyik'oł łat kyiḵ'otsḵ'odza g̱a̱ng̱a̱n.","The men used doublebladed axes years ago to cut down trees.","","Spoken example sentence with word: la̱g̱a̱xgigyootk","lagaxgyigyootk-dl-hb-01.wav","admin","","2003-11-11T08:51:14Z","2020-05-04T20:06:54Z"
