"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"hoya̱x","intransitive verb","*ho/ya̱x","correct; right","","Ada al hoyag̱a g̱axłg̱ooyu dis Fumiko.","And Fumiko and I paid the right amount.","","","","Fumiko S 18.1","","","Dunn, Practical Dictionary entry: 809.","1","","","","","","","","","","","","","","",
"hoya̱x","intransitive verb","*ho/ya̱x","similar","","Hoyag̱u amhaw 'yuutat daawł ła gaksgu.","When I woke up this morning, I sounded like a man.","","","","Fumiko S 13.1","","","Dunn, Practical Dictionary entry: 809.","1","","","","","","","","","","","","","","",
"gyad","transitive verb","","hold","","Dat 'lii t'aadit gisga la̱x pdoołga, ma̱n gyaditga waapga ","And she stayed on a platform raised up in the house","He built a platform in the house","","","Mulder,  2.1","","","Dunn, Practical Dictionary entry: 561.","1","","","","","","","","","","","","","","",
"gyad","transitive verb","","","","","","","","","","","","Dunn, Practical Dictionary entry: 561.","1","","","","","","","","","","","","","","",
"'natxagyisihaywaas","common noun","'na/txa/gyisi/haay/*waas","northeast","","'Natxagyisihaywaask wila 'waatga baask.","Wind is coming from the northeast.","","Spoken example sentence with word: 'natxagyisihaywaas","'natxagyisihaywaas-em-hb-02.mp3","","","","","1","","","","'natxagyisihaywaas-em-hb-02.mp3","","","","","Image depicting: 'natxagyisihaywaas","COMPASS 08.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"sadi'waatk","transitive verb","","take something from","","at sadi'waatgit a nah wilt 'liibats'nt a haḵ'oo ts'imuut.","taking it from where she had placed it behind her ear"," ","Spoken example sentence with word: sadi'waatk","sadiwaatk-em-2018.mp3","Boas, Fr 781.1","","","","1","","","","sadiwaatk-em-2018.mp3","","","","","","","","","","",
"la̱g̱a̱xgigyootk","common noun","la̱/g̱a̱x/gi/*gyootk","doublebladed axe, used by fallers","","La̱g̱a̱xgyigyootga hoy 'yuutat gyik'oł łat kyiḵ'otsḵ'odza g̱a̱ng̱a̱n.","The men used doublebladed axes years ago to cut down trees.","","Spoken example sentence with word: la̱g̱a̱xgigyootk","lagaxgyigyootk-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1079.","1","","Person saying: la̱g̱a̱xgigyootk","","lagaxgyigyootk-dl-hb-01.mp3","","","","","","","","","","",
"matxaw","common noun","ma/*txaw","muscle twitch - when your muscles are strained and you can see them quiver below your skin","","Luk'wil ts'üü na matxaw 'yuuta awaan.","That man by you has a strong muscle twitch.","","","","","","","Dunn, Practical Dictionary entry: 1408.","1","","Person saying: matxaw","","","","","","","Image depicting: matxaw","GROOM - NERVOUS 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"g̱a̱nats'iks","common noun","g̱a̱/*na/ts'iks","fish tails (pl.)","","Sip'iyaantu na g̱a̱nats'iksa hoon.","I smoked the fish tails.","","Spoken example sentence with word: g̱a̱nats'iks","636849891626854711A LexExampleSentence.mp3","","","","","1","","","","636849891626854711A LexExampleSentence.mp3","","","","","","","","","","",
"asdihaw","intransitive verb","as/di/*haw","say something wrong; make a mistake in speaking","","Gyidza asdihawi.","I almost said the wrong thing.","","Spoken example sentence with word: asdihaw","asdihaw-mb-k-01.mp3","","","","","1","","","","asdihaw-mb-k-01.mp3","","","","","","","","","","",
"haxłm yets'a","common noun","","ropes tied around objects (as when you are packing boxes to move them)","","Ada ła g̱awdit sadog̱a haxłm yets'a adat ḵ'a̱g̱it,","","after taking off the lacings she opened it","","","Beynon m 125.1","","","","1","","","","","","","","","","","","","","",
"dexwa̱ntk","intransitive verb","dex/*wa̱ntk","patient (used as an exhortation to try to be patient)","","Dexwa̱ntgism! Ła dm g̱oydiksa wineeya.","You all be patient! Food will be here soon.","","Spoken example sentence with word: dexwa̱ntk","deex_wantk-dr-hb-01.mp3","","","","","1","","","","deex_wantk-dr-hb-01.mp3","","","","","","","","","","",
"laan","common noun","laan","fish eggs; fish roe","","Dm ludadooyu laan dip dm g̱a̱nga̱ba ła̱'a̱sk.","I will preserve fish roe to eat with seaweed.","","Spoken example sentence with word: laan","laan-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1070.","1","","Person saying: laan","","laan-dl-hb-01.mp3","","","","","","","","","","",
"si'aam wuwaal","intransitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'oy","intransitive verb","'oy","throw","","","","","","","","","","Dunn, Practical Dictionary entry: 1581.","1","","Person saying: 'oy","","","","","","","Image depicting: 'oy","BOY THROWING FRISBEE 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"'oy","transitive verb","'oy","throw something","","Gyiloom dza ooył ła'atm mooks.","Don't throw snow balls.","","","","","","","Dunn, Practical Dictionary entry: 1581.","1","","Person saying: 'oy","","","","","","","Image depicting: 'oy","BABY THROWING BOTTLE.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"g̱aag̱mts'ma̱ks","common noun","*g̱aa/g̱m/ts'm/*aks","black bass","","Di ga̱psii g̱aag̱mts'maks?","Are black bass eaten?","","Spoken example sentence with word: g̱aag̱mts'ma̱ks","gaagmts'maks-mb-kk-01.mp3","","","","","1","","","","gaagmts'maks-mb-kk-01.mp3","","","","","","","","","","",
"sm mi'is","intransitive verb","","breastfeed","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ga̱ks","","ga̱ks","jump (of fish)","","Ga̱ksa hoon. Ayoo!!!","A fish is jumping. Yahoo!!!","","","","","","","Dunn, Practical Dictionary entry: 342. Dunn, Practical Dictionary entry: 1173.","1","","","","","","","","","","","","","","",
"naasik","common noun","*naa/sik","raspberries (Kitkatla dialect)","Kitkatla: dialect.","Heelda naasik da 'awaa Spaksuut.","There are a lot of raspberries near Port Essington.","","","","","","","Dunn, Practical Dictionary entry: 1472.","1","","","","","","","","","Image depicting: naasik","rubus_idaeus.bmp","","Photograph courtesy of Nancy Turner.","","",
"ndemn","interjection","n/*demn","don't","","Ndemn, gyiloo mi suwa̱nooyu.","Stop it, don't bother me. (not recognized by all speakers - may be a dialect form)","","","","","","","","1","","","","","","","","","","","","","","",
