"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","DEFINITION_2","DEFINITION_3","DEFINITION_4","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_DESCRIPTION","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SHARED_WITH_OTHER_DIALECTS","RELATED_PHRASE_AUDIO_CHILD_FOCUSED","RELATED_PHRASE_AUDIO_SOURCE","RELATED_PHRASE_AUDIO_RECORDER","CATEGORIES","CULTURAL_NOTE","CULTURAL_NOTE_2","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SHARED_WITH_OTHER_DIALECTS","IMG_CHILD_FOCUSED","IMG_SOURCE","IMG_RECORDER","VIDEO_TITLE","VIDEO_FILENAME","VIDEO_DESCRIPTION","VIDEO_SHARED_WITH_OTHER_DIALECTS","VIDEO_CHILD_FOCUSED","VIDEO_SOURCE","VIDEO_RECORDER","USERNAME","CONTRIBUTOR"
"chassis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"échauffer","Verb","","make or become warm or hot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"eau","Noun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ciel","Noun","","the region of the atmosphere and outer space seen from the earth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"pluie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"pens","Verb","","to employ one's mind rationally and objectively in evaluating or dealing with a given situation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"chaleur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"pleuvoir","Verb","","","","","","","Il pleut.","It's raining.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"tigre","Noun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"froid","Adjective","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"trop","Adverb","","","","","","","Ce lion-là est trop grand.","That lion is very big.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"courir","Verb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"chat","Noun","","a small domesticated carnivorous mammal with soft fur, a short snout, and retractile claws; it is widely kept as a pet or for catching mice, and many breeds have been developed","a cat or other member of the cat family","","","","Notre chat attrape toutes les souris qui viennent chez nous.","Our cat catches any mice that come in our house.","","","","","","","","","","","","","","","","","","","","","","","what-does-it-mean-when-cat-wags-tail.jpg","","","","","","","","","","","","","","",
"lion","Noun","","a large tawny-colored cat that lives in prides, found in Africa and northwestern India; the male has a flowing shaggy mane and takes little part in hunting, which is done cooperatively by the females","","","","","Le lion est le roi de la jungle.","The lion is the king of the jungle.","","","","","","","","","","","","","","","","","","","","","","","1200px-Lion_waiting_in_Namibia.jpg","","","","","","","","","","","","","","",
"animal","Noun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"très","Adverb","","","","","","","Un lion est un très grand animal.","A lion is a very big animal.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"fenêtre","Noun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"chien","Noun","","a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, and a barking, howling, or whining voice; it is widely kept as a pet or for work or field sports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"maintenant","Adverb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"fait","Verb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"lionceaux","Noun","","","","","","","Le lion, la lionne et les lionceaux rugissent.","The lion, the lioness and the lion cubs roar.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"arc-en-ciel","Noun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rainbow.jpg","","","","","","","","","","","","","","",
"faire","Verb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"soleil","Noun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"trois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"nuage","Noun","","a visible mass of condensed water vapor floating in the atmosphere, typically high above the ground","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"chaton","Noun","","","","","","","Le chaton avait une énergie débordante, poursuivant la balle de laine pendant des heures.","The kitten had boundless energy, chasing the ball of yarn for hours.","","","","","","","","","","","","","","","","","","","","","","","kitten.jpg","","","","","","","","","","","","","","",
"asteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"frais","Adjective","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"lionne","Noun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"souris","Noun","","a small rodent that typically has a pointed snout, relatively large ears and eyes, and a long tail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"jour","Noun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"trop","Adverb","","","","","","","Cette boîte est trop grande pour passer la porte.","This box is too big to fit through the door.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"cuisiner","Verb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"parler","Verb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"bon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"chaud","Adjective","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"manger","Verb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"porter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"chassis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"chauff","Noun","","make or become warm or hot.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
