"WORD_ID","WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"6b99d54a-d10b-4154-a14e-67c174f57d2b","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"c72ed929-0a3d-481d-a462-00bdc2462bbd","","v","","make or become warm or hot","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"2738e4c4-4819-4ed9-907d-7f7e81d83263","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"108b33f7-b239-4a0c-8408-62056d4ffad5","","n","","the region of the atmosphere and outer space seen from the earth","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"07aa71a1-efb4-41dd-868d-fef64008a967","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"0130a43d-8fff-43cd-a7b8-e6f2c1089050","","v","","to employ one's mind rationally and objectively in evaluating or dealing with a given situation","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"e2448c65-47e1-48a8-8d9a-109faea89cae","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"161bbdcb-0d15-4603-ac3b-b9ab2fb8ce5e","","v","","","","Il pleut.","It's raining.","","","","","","","","1","1","","","","","","","","","","","","admin",""
"8318bbba-21ca-4664-a531-4d9d320efe76","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"53415a04-c6ee-4e33-ba2e-59cb3ea89578","","adj","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"ba235f8b-0594-45fe-b8c2-beb84dffc0c0","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"43009d14-c9af-4a04-a3df-5491b4125107","","adv","","","","Ce lion-là est trop grand.","That lion is very big.","","","","","","","","1","1","","","","","","","","","","","","admin",""
"97c2dc6d-c4ce-438b-920e-ef356c3c87d9","","v","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"df00d173-fb12-4a07-b0a4-e7c9060770a6","","n","","a small domesticated carnivorous mammal with soft fur, a short snout, and retractile claws; it is widely kept as a pet or for catching mice, and many breeds have been developed","","Notre chat attrape toutes les souris qui viennent chez nous.","Our cat catches any mice that come in our house.","","","","","","","","1","1","","","","","","","","Image depicting: ","what-does-it-mean-when-cat-wags-tail.jpg","","","admin",""
"50fb4730-a04a-43eb-9f60-f8fc8e3d251b","","n","","a cat or other member of the cat family","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"f5d10115-3731-4e1c-b574-956e3ab69e5b","","n","","a large tawny-colored cat that lives in prides, found in Africa and northwestern India; the male has a flowing shaggy mane and takes little part in hunting, which is done cooperatively by the females","","Le lion est le roi de la jungle.","The lion is the king of the jungle.","","","","","","","","1","1","","","","","","","","Image depicting: ","1200px-Lion_waiting_in_Namibia.jpg","","","admin",""
"137a24e2-5903-48c5-8fce-19f0728378f7","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
"74ca22cf-b3b3-4f20-9ef4-f672994dea06","","adv","","","","Un lion est un très grand animal.","A lion is a very big animal.","","","","","","","","1","1","","","","","","","","","","","","admin",""
"dd982788-9964-40df-9857-013259d429f9","","n","","","","","","","","","","","","","1","1","","","","","","","","","","","","admin",""
